economic_id;year;rgdpe;rgdpo;emp;hc;cn;ck;pop;ctfp;rtfpna;delta;csh_i;country_id
1;1974;34613,85547;32680,58398;4,130696297;1,0257622;135153,9219;0,004944609;6,76138;0,571475983;1,322002411;0,03791821;0,39758268;1
2;1975;32736,13672;30533,2832;4,270974159;1,028296828;141681,2031;0,005056253;7,024;0,529558361;1,207241893;0,03753338;0,409320265;1
3;1976;31027,25977;29695,13086;4,405440807;1,030837774;146972;0,005078231;7,279509;0,490708351;1,102046013;0,037335612;0,396777064;1
4;1977;31654,45313;31375,71289;4,537667274;1,033385038;152845,7344;0,005050821;7,533735;0,498216271;1,070374608;0,037065111;0,387023836;1
5;1978;29536,04883;28078,90234;4,670081139;1,035938501;157429,8594;0,004932503;7,790707;0,436259389;0,981703043;0,036594033;0,401575357;1
6;1979;29828,99609;28697,12305;4,807216644;1,038498282;162314,7656;0,004888081;8,058067;0,441732079;0,955462456;0,036067247;0,385583907;1
7;1980;30380,06641;28927,41992;4,952234268;1,041064382;166275,9219;0,004725817;8,341289;0,44304511;0,955701172;0,035474293;0,363888115;1
8;1981;29912,49609;28634,07422;5,103068829;1,050380826;171321,1406;0,004766081;8,640446;0,422926515;0,889523268;0,034880869;0,372841209;1
9;1982;30552,60742;28998,65625;5,259891033;1,059780598;177238,7188;0,004924149;8,95295;0,418813199;0,862538099;0,034450803;0,420110434;1
10;1983;31005,72656;29083,14648;5,42216444;1,069264412;180392,625;0,005050754;9,278096;0,394165486;0,874676287;0,034025468;0,358704001;1
11;1984;34438,75;31850,68945;5,589114666;1,078833222;184488,4531;0,005083483;9,614754;0,399980903;0,899407387;0,033601474;0,345170915;1
12;1985;35114,29297;32966,54688;5,760098457;1,088487506;187155,4375;0,005083937;9,961997;0,403460085;0,913438737;0,033187501;0,258169711;1
13;1986;30319,9082;29358,67969;5,935182571;1,098228335;188934,9063;0,005092983;10,320111;0,339525193;0,932877064;0,032724716;0,24600637;1
14;1987;34479,48438;32969,54688;6,11435318;1,108056307;190643,8125;0,005081073;10,68925;0,367196262;0,980415881;0,032295518;0,24823992;1
15;1988;32761,54688;31056,70508;6,296732426;1,117972136;191873,3438;0,005099454;11,06805;0,328861296;1,021555305;0,03194933;0,196775422;1
16;1989;34640,91797;33118,72266;6,481249332;1,127976775;191911,6094;0,005166692;11,454777;0,335428327;1,016051292;0,031669524;0,167626709;1
17;1990;36310,55469;35987,32813;6,66724205;1,138070941;190846,5469;0,00532484;11,848386;0,342583239;1,004269838;0,031467319;0,162811577;1
18;1991;33509,28906;33312,19141;6,864369392;1,153040051;194504,1875;0,005759534;12,248901;0,278860658;0,975813806;0,031609114;0,421966404;1
19;1992;38332,85156;38985,78906;7,066922665;1,168206215;190025,6563;0,006404285;12,657366;0,322923183;0,86317277;0,032113351;0,526537359;1
20;1993;33135,31641;33555,55859;7,271164894;1,183571696;220804,125;0,006783844;13,075049;0,250276238;0,624376655;0,032581341;0,500107646;1
21;1994;36157,69141;35790,53906;7,466423988;1,199139357;231169,4688;0,007278738;13,503747;0,240833387;0,602894723;0,032941286;0,454812586;1
22;1995;36550,82422;31983,10547;7,670183659;1,214911699;243613,625;0,00810201;13,945206;0,190308988;0,648631871;0,034170076;0,630908728;1
23;1996;48771,60156;40620,82031;7,890860558;1,230891585;265958,8438;0,009227562;14,400719;0,208698675;0,668597281;0,037043221;0,738166451;1
24;1997;45720,80469;41782,32031;8,147480011;1,247081637;279596,9688;0,009549179;14,87157;0,1988803;0,680709362;0,038987845;0,555552065;1
25;1998;47414,22266;43945,71484;8,429095268;1,263484716;303431,9063;0,010161045;15,359601;0,190398157;0,661674023;0,039447658;0,718285382;1
26;1999;49751,99219;42790,30078;8,730933189;1,280103445;318746,0625;0,010532572;15,866869;0,174368113;0,6401788;0,040047232;0,587190866;1
27;2000;40896,87891;36538,80859;9,063554764;1,296940804;318987,625;0,010081424;16,395473;0,147590548;0,649630487;0,040129554;0,380562186;1
28;2001;40838,36328;39557,39063;9,396174431;1,308486342;322602,5313;0,009722021;16,945753;0,153615877;0,663308978;0,039740574;0,334792018;1
29;2002;46391,69141;44386,85547;9,701180458;1,32013464;330384,75;0,009818912;17,519417;0,174474925;0,74759239;0,039570928;0,31206581;1
30;2003;48488,30859;48612,57813;9,990836143;1,331886649;338900,7188;0,010186138;18,121479;0,18022719;0,749893188;0,039699394;0,323924989;1
31;2004;57571,03906;58740,80078;10,27946091;1,343743324;351294,5313;0,010222338;18,758145;0,211143523;0,800954401;0,040301673;0,307023287;1
32;2005;71963,17969;79999,51563;10,61960888;1,355705619;366519,7813;0,009940084;19,433602;0,274469435;0,889505386;0,040991094;0,26027298;1
33;2006;91456,07813;106584,0859;11,00529194;1,367774248;395013,5625;0,010575235;20,149901;0,335212231;0,961108088;0,041351669;0,223302811;1
34;2007;100577,3516;121459,4453;11,4146471;1,379950404;455173,125;0,011764123;20,905363;0,344180048;1,056661487;0,041421659;0,240752056;1
35;2008;120543,3438;150207,2813;11,84231567;1,392234921;557643,0625;0,014194568;21,695634;0,370547473;1,109016299;0,042222023;0,278903961;1
36;2009;99539,35938;115505,3438;12,26917171;1,404628754;704434,625;0,020429321;22,514281;0,245517597;1,057020903;0,043612961;0,403175235;1
37;2010;140742,2813;159625,2344;11,97783279;1,417132974;870198,5;0,021662962;23,356246;0,308318287;1,0745157;0,044675112;0,310117185;1
38;2011;185480,7813;201857,6563;12,6886282;1,424196243;999636,8125;0,022774072;24,220661;0,375211209;1,049775362;0,045748472;0,305798471;1
39;2012;204876,3594;229563,2344;13,1216898;1,43129468;1057144,125;0,021860335;25,107931;0,414552271;1,088998556;0,046596427;0,291272521;1
40;2013;215438,5781;242490,2813;13,56542301;1,438428521;1053465,25;0,019893985;26,015781;0,437973619;1,096360564;0,046937492;0,266319543;1
41;2014;232251,1875;254874,6719;14,03927422;1,445597887;1162079,125;0,020106064;26,941779;0,449488819;1,104430437;0,0468762;0,266064227;1
42;2015;216207,0938;224712,6094;14,52909756;1,452803016;1145485,375;0,018823022;27,884381;0,416865557;1,072718143;0,046629298;0,308716267;1
43;2016;211653,7969;218670,6406;15,02833939;1,460044026;1092634,5;0,016528154;28,842489;0,417791963;1,018107295;0,046023969;0,242255062;1
44;2017;223326,7344;230151,3438;15,54455185;1,467321157;1281953,25;0,017824279;29,816766;0,414517403;1;0,045117199;0,206898272;1
45;2018;239713,125;233805,0625;16,07833099;1,474634528;1286664,875;0,017016109;30,809787;0,414531916;0,96284318;0,044371817;0,190925479;1
46;2019;228151,0156;227855,7188;16,64496231;1,481984377;1299231,5;0,016623726;31,825295;0,387996405;0,936524391;0,043606423;0,191709593;1
47;1954;51835,375;52254,76953;7,036511421;1,874243021;75800,46875;0,005783468;18,51716789;0,717161834;1,195032835;0,02881225;0,108072817;2
48;1955;56628,43359;56072,5;7,147687912;1,888962626;80596,41406;0,005960498;18,86324458;0,71523577;1,220923781;0,028981561;0,112315379;2
49;1956;58044,66797;57550,31641;7,244111538;1,901768327;84654,46875;0,006045632;19,20576288;0,700492263;1,207000613;0,029277431;0,104864135;2
50;1957;60744,98828;60560,36719;7,341836452;1,91466105;87753,46875;0,006134658;19,54363364;0,706030905;1,204647779;0,029524174;0,110904716;2
51;1958;65418,03906;65162,11328;7,440879345;1,927641034;93118,8125;0,006240022;19,87848775;0,736539125;1,232777119;0,029700026;0,112815842;2
52;1959;62026,23438;61388,01563;7,541258812;1,940709233;96384,14844;0,006239666;20,21195806;0,666932762;1,134961128;0,029763622;0,11106196;2
53;1960;66827,48438;65991,28125;7,64299202;1,953865767;103569,9141;0,006437474;20,54567357;0,67723316;1,191693783;0,030306475;0,148988158;2
54;1961;70027,46875;68127,41406;7,739992142;1,964927793;111476,4531;0,006722252;20,87910586;0,667752326;1,167309165;0,031384632;0,15116249;2
55;1962;66726,8125;69384,20313;7,838223457;1,976052523;117350,7422;0,006795941;21,21116954;0,650232017;1,130045772;0,03222898;0,131594434;2
56;1963;66221,08594;66981,1875;7,937701225;1,987240314;121068,7656;0,006688621;21,54265537;0,607627213;1,064233184;0,032470953;0,113241427;2
57;1964;70699,46094;70325,3125;8,038441658;1,998491406;127121,1953;0,00663144;21,87435979;0,607535481;1,106825352;0,032576807;0,139779359;2
58;1965;81516,10938;79025,89063;8,140460014;2,009806156;133092,7969;0,006643527;22,20707736;0,653815269;1,167935252;0,032838482;0,128806397;2
59;1966;81065,375;80755,50781;8,240280151;2,022713423;138348,3125;0,006547734;22,53446117;0,640710592;1,137580395;0,03296208;0,1209905;2
60;1967;84686,625;83494,25781;8,341324806;2,035703421;143743,1406;0,006488012;22,85598089;0,64908427;1,136767864;0,03293971;0,119687438;2
61;1968;87104,52344;85935,94531;8,443606377;2,048776865;149957,9531;0,006459287;23,18115592;0,641687632;1,159634948;0,032869056;0,125975892;2
62;1969;94738,72656;94348,5625;8,547143936;2,061934233;158988,8281;0,006572143;23,51950949;0,67858547;1,215993404;0,032900091;0,142667577;2
63;1970;96633,6875;97105,6875;8,651949883;2,075176239;168992,1094;0,006679999;23,880561;0,679583848;1,208719969;0,032972004;0,144580632;2
64;1971;101079,7578;100012,8203;8,734713554;2,096463442;179663,625;0,006864558;24,259561;0,666485667;1,204708695;0,033011399;0,157995865;2
65;1972;103489,2891;101742,6953;8,818268776;2,117969036;189103,375;0,006994397;24,653175;0,644468367;1,183912992;0,033107448;0,158413216;2
66;1973;109352,6563;107506,1563;8,902623177;2,139695168;197169,5156;0,007009431;25,056478;0,652206719;1,190713048;0,033189993;0,144448385;2
67;1974;114436,4141;112594,1094;9,226568222;2,16164422;206498,9375;0,007016348;25,462302;0,701997697;1,203240395;0,033163656;0,143845692;2
68;1975;113183,2188;111144,5938;9,285899162;2,18381834;215738,9375;0,007206168;25,865776;0,679537177;1,164057255;0,032960739;0,153047621;2
69;1976;111815,6797;111303,875;9,292825699;2,196906328;222805,6875;0,007317588;26,264681;0,654082298;1,13431406;0,03266713;0,161195844;2
70;1977;116233,625;118831,1797;9,544593811;2,210072994;235358,5156;0,007525629;26,661398;0,663815916;1,150844574;0,032709453;0,18023634;2
71;1978;112721,625;117131,9688;9,631727219;2,223318338;244890,9531;0,007465341;27,061047;0,637016535;1,084235549;0,032731362;0,153642416;2
72;1979;123069,5156;124635,4063;9,799654961;2,236643076;257440,5156;0,007561428;27,471036;0,66012001;1,121969223;0,032621931;0,158863902;2
73;1980;130205,0156;125315,2656;9,828572273;2,250047684;270021,375;0,00751548;27,896528;0,653616309;1,106270194;0,032765795;0,17342332;2
74;1981;129140,6953;126380,7266;9,851314545;2,283164024;280990,25;0,007629897;28,338515;0,639830053;1,027096748;0,03274402;0,153873622;2
75;1982;129296,8203;132655,0625;10,00714493;2,316767931;293317,3438;0,007779657;28,794548;0,662962675;0,980597854;0,032252748;0,124745421;2
76;1983;141275,3281;143819,5781;10,31627655;2,350866556;308705,7813;0,008100049;29,262047;0,677838385;0,998551071;0,031590302;0,120258234;2
77;1984;150891,6094;153307,5313;10,55692482;2,385466814;330186,6563;0,008326367;29,737093;0,672849417;0,999224007;0,031091286;0,114024349;2
78;1985;144763;149748,6875;10,63332367;2,420576334;356702,4375;0,008665001;30,216279;0,625060558;0,922223151;0,030663136;0,106564969;2
79;1986;164806,4219;166668,4688;10,94746113;2,441888332;392349,25;0,009213997;30,698964;0,638528764;0,970893204;0,030161673;0,113869436;2
80;1987;177125,8906;177435,2813;11,17555237;2,463388205;441385,0938;0,009851607;31,184415;0,632212818;0,977821171;0,029682718;0,130028874;2
81;1988;185694,2813;188858,3594;11,39611912;2,485077143;504586,9063;0,010759819;31,668949;0,620491087;0,943299055;0,02927606;0,126601622;2
82;1989;182602,875;181887;11,49627209;2,506957054;581149,75;0,011891314;32,148134;0,559058309;0,87218982;0,028900957;0,109649181;2
83;1990;196718,6875;204212,6875;11,81147861;2,529029608;673077,0625;0,013343003;32,618651;0,576955914;0,851489544;0,028494453;0,08779864;2
84;1991;236273,5469;240402;12,19068241;2,552567959;798458,1875;0,01548916;33,079;0,610796094;0,922538757;0,028152756;0,110794559;2
85;1992;284181,9688;283126,8438;12,38593483;2,570973873;975891,9375;0,018637577;33,529326;0,629035711;0,996221304;0,028180698;0,141796574;2
86;1993;326765,25;325027,75;12,34501266;2,587059975;1206812,125;0,022664875;33,970111;0,64102;1,031779528;0,028542301;0,166595653;2
87;1994;381534;378639,9375;12,41618156;2,60324645;1476060,625;0,026754715;34,402672;0,662644148;1,056375504;0,02909187;0,186089277;2
88;1995;423577,25;424478,75;11,8353138;2,619534492;1718481,375;0,029966496;34,82817;0,698665559;1,027733207;0,029506963;0,170761481;2
89;1996;548493,6875;548784,875;12,13721466;2,627023935;1855309,75;0,031481955;35,246374;0,834360242;1,052825928;0,029759239;0,181635037;2
90;1997;568161;566384,25;12,76251125;2,634534597;1903882;0,031329244;35,657429;0,815747857;1,088436365;0,030204222;0,20093897;2
91;1998;570521,625;565211,8125;13,35114288;2,642066956;1929212,375;0,030670993;36,063459;0,773384213;1,081900239;0,030776288;0,207957;2
92;1999;534873,375;532079,6875;13,46127415;2,649620771;1905820,875;0,029180115;36,467218;0,724703968;1,027729392;0,031144867;0,1886511;2
93;2000;528719,3125;528448,75;13,59835911;2,657196045;1856011,625;0,02697327;36,870787;0,720360458;1,008216143;0,03118339;0,176276892;2
94;2001;493202,1875;496567,2813;13,50548172;2,683002949;1797162,75;0,025175968;37,275652;0,698161244;0,968542039;0,030918052;0,156381145;2
95;2002;457226,2188;425342,1563;13,41266441;2,709059954;1693605,25;0,02323298;37,681749;0,626223505;0,885788858;0,030329049;0,115219645;2
96;2003;481738,7813;461437,0625;14,06910324;2,735370398;1668607,125;0,022159562;38,087868;0,664453506;0,943774462;0,029759167;0,143108755;2
97;2004;518568,3125;504759;14,99685669;2,761936188;1680967,125;0,021868041;38,491972;0,688669503;0,984730899;0,029611016;0,171058849;2
98;2005;554101,125;548929,1875;15,74958897;2,788760185;1729449;0,022131508;38,892931;0,716664135;1,024668455;0,029900799;0,175892681;2
99;2006;607265,25;599530,125;16,29812241;2,796975374;1822624,75;0,02244034;39,289878;0,755856216;1,065109849;0,030452475;0,170907006;2
100;2007;671212,625;665477,25;16,96141243;2,805214643;1994160;0,023646332;39,684295;0,792479932;1,1034621;0,031255186;0,183414668;2
101;2008;720762,6875;718254,625;17,3702507;2,813478231;2233858,25;0,025779929;40,08016;0,80843699;1,100193024;0,032233432;0,182933167;2
102;2009;692100,375;684293,3125;17,56205559;2,821766138;2457675,5;0,02781738;40,482788;0,747779429;1,024628997;0,032770768;0,146549955;2
103;2010;787148,625;784810,125;18,07674599;2,830078363;2702753;0,030688141;40,895752;0,792553425;1,085149646;0,033220284;0,168039024;2
104;2011;884236,0625;882632,375;18,48802948;2,858542204;2913429,75;0,032819901;41,3205;0,845202923;1,102620959;0,034203846;0,172577605;2
105;2012;895048,8125;902396;18,79129219;2,887292385;2972708,75;0,032963756;41,755196;0,836381853;1,065419316;0,03506881;0,155310094;2
106;2013;903833;904232;19,12441826;2,916331768;2982373;0,032099497;42,19603;0,830026627;1,061442018;0,035643395;0,155291006;2
107;2014;878697,25;879837,75;19,38305092;2,945662737;3010442,25;0,031559594;42,637511;0,799316466;1,016845703;0,035970751;0,151392817;2
108;2015;914850,1875;913103,5;19,85445023;2,975289106;3039081;0,031235397;43,075416;0,809793591;1,014432073;0,036058284;0,147443384;2
109;2016;911368;908771,3125;19,72317505;3,005213499;2980183,25;0,030033462;43,50846;0,828829467;1,000467777;0,03622349;0,14811635;2
110;2017;1026128,125;1022513,25;20,03366089;3,035438776;3112554,75;0,03091518;43,93714;0,898367167;1;0,036519255;0,132341191;2
111;2018;1025860,938;1021129,313;20,1350708;3,065968037;3159713,5;0,030851642;44,36115;0,878009439;0,961984575;0,036666092;0,122581996;2
112;2019;991646,3125;977420,5625;20,64321518;3,09680438;3183182,25;0,029933166;44,780677;0,828559279;0,929474831;0,03632449;0,105573431;2
113;1994;9068,849609;9502,244141;1,712767959;3,006613731;55725,58984;0,000808901;3,283667;0,205111995;0,244943663;0,03464501;0,161022663;3
114;1995;9528,505859;9896,93457;1,701636553;3,021299601;55398,55078;0,000848008;3,217348;0,206491098;0,263377726;0,033481676;0,125619262;3
115;1996;10072,15234;10904,49023;1,634426475;3,036613464;55352,82031;0,000813018;3,168221;0,227962911;0,287264526;0,032354586;0,12065506;3
116;1997;9489,25293;11346,62207;1,548609853;3,052005053;54665,73828;0,00077648;3,133089;0,245806977;0,309258103;0,03119739;0,118677899;3
117;1998;9635,887695;10348,7832;1,501035452;3,067474365;53364,71875;0,000722005;3,108687;0,221905544;0,338360757;0,029979432;0,133603871;3
118;1999;9689,003906;11392,7959;1,448887706;3,083022356;51172,69922;0,000680132;3,089022;0,252867758;0,355929255;0,029138504;0,114171281;3
119;2000;10087,3418;11660,34668;1,418873549;3,098649025;48770,91406;0,000625471;3,069591;0,267430663;0,379261672;0,028599655;0,118336707;3
120;2001;10989,71973;12325,81348;1,395991445;3,09845233;46488,59766;0,000572169;3,050687;0,28948614;0,422583163;0,028089296;0,12960346;3
121;2002;12304,64941;13338,3252;1,215655327;3,098255634;44997,71094;0,000554328;3,033978;0,353804767;0,533463359;0,027625836;0,146443278;3
122;2003;13872,30176;15183,27344;1,21315074;3,098059177;44259,20313;0,000542223;3,017932;0,405633956;0,604552984;0,027315892;0,164011985;3
123;2004;15250,16016;16171,63965;1,178646684;3,097862482;44194,76563;0,000534597;3,00072;0,435738981;0,668880761;0,027211409;0,176508024;3
124;2005;17184,89063;17958,91992;1,190183997;3,097665787;45317,99609;0,000544103;2,981269;0,482992202;0,739032686;0,027290052;0,198638409;3
125;2006;19635,30078;20416,375;1,176137924;3,100373507;47046,875;0,000560346;2,958307;0,543629646;0,812004209;0,027477071;0,220072985;3
126;2007;22700,49414;23115,15234;1,176825762;3,103083372;48734,03125;0,000579422;2,932618;0,607929826;0,885690451;0,027854674;0,220403403;3
127;2008;24141,98828;25132,72852;1,184398532;3,105795622;50713,12891;0,000608354;2,907618;0,652042866;0,908374667;0,028417451;0,223484024;3
128;2009;21865,50195;23216,51367;1,147828698;3,108510256;51133,90625;0,00062687;2,888092;0,607439578;0,782463074;0,028762681;0,158768028;3
129;2010;23668,73633;25550,7793;1,160065293;3,111227512;51933,57422;0,000660526;2,877319;0,64116019;0,774388492;0,028970072;0,139539599;3
130;2011;26128,95508;28177,77734;1,150867701;3,11395669;53176,27344;0,000685659;2,876538;0,67992878;0,797028244;0,029228086;0,115848385;3
131;2012;30096,56445;33102,27344;1,152937889;3,116691589;58292,4375;0,000738961;2,884234;0,754780412;0,838834047;0,029496886;0,107241727;3
132;2013;30251,53516;32769,96094;1,150478244;3,119431973;63650,32422;0,000789376;2,897588;0,721010327;0,853957355;0,029788068;0,099681422;3
133;2014;29363,04883;31430,55078;1,127840638;3,122178078;88986,58594;0,000980579;2,912409;0,623674214;0,882420599;0,030097604;0,107138075;3
134;2015;31316,5;32639,05273;1,07347846;3,124930143;75984,78906;0,000917863;2,925553;0,676081777;0,921123683;0,030502893;0,103417039;3
135;2016;31943,34766;33254,65234;1,011790752;3,127687693;82067,34375;0,000984239;2,936143;0,687873363;0,946190834;0,030884115;0,095406085;3
136;2017;36337,19922;38221,71484;1,022854209;3,130450964;89356,52344;0,001064386;2,944791;0,752398729;1;0,031302273;0,099333547;3
137;2018;37560,65625;40110,83984;0,926079333;3,133219957;91160,625;0,001101936;2,951745;0,801344514;1,091134429;0,032140099;0,120141014;3
138;2019;41048,62891;43582,57422;0,966090977;3,135994673;93246,17969;0,001104292;2,957731;0,838301003;1,134435534;0,033223704;0,09427435;3
139;1954;131680,6875;131921,3906;3,731083393;2,695579767;517336,0625;0,055342004;9,159148135;0,803091645;0,716983616;0,02279496;0,341384172;4
140;1955;136464,5313;138513,9375;3,811291456;2,702695847;543523,5625;0,057926159;9,374454313;0,784442604;0,723346949;0,023131337;0,339309335;4
141;1956;139459,375;140626,0625;3,895439148;2,71145153;562391,625;0,058815997;9,600318608;0,771117151;0,708298266;0,023386898;0,304015547;4
142;1957;139377,5313;141599,9531;3,946432352;2,720235586;580975,5;0,059836298;9,814506913;0,750055194;0,711436927;0,023569504;0,317130268;4
143;1958;148823,7969;152881,2188;3,981426954;2,729047775;605957,75;0,060866334;10,01933207;0,799340248;0,746089756;0,023770338;0,341679305;4
144;1959;159669,5625;162855,8906;4,030419827;2,737889051;633283,875;0,064400338;10,23806607;0,799331665;0,775366604;0,023990758;0,348790199;4
145;1960;161635,5156;165419,75;4,155402184;2,746758461;655653,3125;0,068939559;10,47001892;0,755202532;0,766919017;0,024201071;0,356183201;4
146;1961;165718,0781;170311,6875;4,16740036;2,768152952;671180,9375;0,068177111;10,71005321;0,754695654;0,763739049;0,024352191;0,302833259;4
147;1962;175465,75;179626,2188;4,267385483;2,789713621;696079,5;0,064047381;10,90826557;0,767936766;0,781701982;0,024508148;0,320441931;4
148;1963;190395,4375;192393,9063;4,389368057;2,811442375;726829,8125;0,060708746;11,11694835;0,79710722;0,800606787;0,024701104;0,315644324;4
149;1964;198959,9219;201940,2344;4,546845436;2,833340645;766154,0625;0,061732788;11,3360447;0,791750669;0,81066525;0,024886927;0,341543585;4
150;1965;202160,3594;204649,6719;4,684576035;2,855409384;798492,75;0,059955742;11,55944582;0,776012003;0,795322537;0,025039187;0,329179525;4
151;1966;215622,4844;218782,9844;4,853451729;2,877649784;832163,3125;0,055960748;11,77740791;0,797792852;0,805359304;0,025177287;0,327278107;4
152;1967;224374,7969;228736,4063;5,005279541;2,900063515;870199,5625;0,056804065;11,99686853;0,792467713;0,810635269;0,0253461;0,322835952;4
153;1968;242520,6406;246073,5938;5,127487183;2,922651768;912002,75;0,056001291;12,228672;0,811454475;0,833554924;0,025548318;0,333983868;4
154;1969;261061,0156;264889,3438;5,270841599;2,945416212;963205,75;0,055324335;12,50931111;0,839868665;0,857326865;0,025763599;0,332711369;4
155;1970;269214,0313;275292,3438;5,470687389;2,968357801;1013307;0,056976087;12,793034;0,84282136;0,851231992;0,025937695;0,329755157;4
156;1971;277322,7813;285965,4063;5,582775116;2,991992712;1059756,625;0,059226412;13,033133;0,838202655;0,858833551;0,026048576;0,315502048;4
157;1972;290876,375;295046,5625;5,652177334;3,015816212;1107388,5;0,058442008;13,244171;0,833772838;0,861306548;0,026079245;0,30545485;4
158;1973;306236,6875;308242,9688;5,798769951;3,039829254;1155736,25;0,065754287;13,431794;0,807598114;0,867396593;0,026049664;0,318548352;4
159;1974;294963,125;297153,7188;5,898222446;3,064033508;1186162,5;0,073912486;13,60557;0,756619632;0,849077404;0,025985116;0,272105098;4
160;1975;296250,1563;303125,4375;5,873687267;3,088430405;1214673,75;0,069381952;13,773288;0,789557338;0,86372453;0,025905959;0,269842744;4
161;1976;308524,9375;316724;5,960297108;3,113021612;1250323,25;0,063699625;13,935731;0,803875446;0,867798746;0,02579855;0,273622692;4
162;1977;310804,4375;322573,3438;6,01401186;3,1378088;1289243,75;0,062124621;14,092548;0,795789719;0,854376614;0,025668679;0,261950374;4
