country_id;countrycode;country;currency_unit
1;AGO;Angola;Kwanza
2;ARG;Argentina;Argentine Peso
3;ARM;Armenia;Armenian Dram
4;AUS;Australia;Australian Dollar
5;AUT;Austria;Euro
6;BDI;Burundi;Burundi Franc
7;BEL;Belgium;Euro
8;BEN;Benin;CFA Franc BCEAO
9;BFA;Burkina Faso;CFA Franc BCEAO
10;BGR;Bulgaria;Bulgarian Lev
11;BHR;Bahrain;Bahraini Dinar
12;BOL;Bolivia;Boliviano
13;BRA;Brazil;Brazilian Real
14;BRB;Barbados;Barbados Dollar
15;BWA;Botswana;Pula
16;CAF;Central African Republic;CFA Franc BEAC
17;CAN;Canada;Canadian Dollar
18;CHE;Switzerland;Swiss Franc
19;CHL;Chile;Chilean Peso
20;CHN;China;Yuan Renminbi
21;CIV;Coôte d'Ivoire;CFA Franc BCEAO
22;CMR;Cameroon;CFA Franc BEAC
23;COL;Colombia;Colombian Peso
24;CRI;Costa Rica;Costa Rican Colon
25;CYP;Cyprus;Euro
26;CZE;Czech Republic;Czech Koruna
27;DEU;Germany;Euro
28;DNK;Denmark;Danish Krone
29;DOM;Dominican Republic;Dominican Peso
30;ECU;Ecuador;US Dollar
31;EGY;Egypt;Egyptian Pound
32;ESP;Spain;Euro
33;EST;Estonia;Euro
34;FIN;Finland;Euro
35;FJI;Fiji;Fiji Dollar
36;FRA;France;Euro
37;GAB;Gabon;CFA Franc BEAC
38;GBR;United Kingdom;Pound Sterling
39;GRC;Greece;Euro
40;GTM;Guatemala;Quetzal
41;HKG;China, Hong Kong SAR;Hong Kong Dollar
42;HND;Honduras;Lempira
43;HRV;Croatia;Croatian Kuna
44;HUN;Hungary;Forint
45;IDN;Indonesia;Rupiah
46;IND;India;Indian Rupee
47;IRL;Ireland;Euro
48;IRN;Iran;Iranian Rial
49;IRQ;Iraq;Iraqi Dinar
50;ISL;Iceland;Iceland Krona
51;ISR;Israel;New Israeli Sheqel
52;ITA;Italy;Euro
